dim_hidden,learning_rate,l2_reg,val_acc
[256, 32],0.1,0.01,0.5575
[256, 64],0.1,0.01,0.5569
[256, 128],0.1,0.01,0.5609
[256, 256],0.1,0.01,0.5557
[512, 64],0.1,0.01,0.566
[512, 128],0.1,0.01,0.565
[512, 256],0.1,0.01,0.564
[512, 512],0.1,0.01,0.5653
[1024, 128],0.1,0.01,0.5648
[1024, 256],0.1,0.01,0.5684
[1024, 512],0.1,0.01,0.5655
[1024, 1024],0.1,0.01,0.5671
[2048, 256],0.1,0.01,0.5707
[2048, 512],0.1,0.01,0.5714
[2048, 1024],0.1,0.01,0.5698
[2048, 2048],0.1,0.01,0.5715
[256, 32],0.1,0.001,0.5363
[256, 64],0.1,0.001,0.5424
[256, 128],0.1,0.001,0.545
[256, 256],0.1,0.001,0.55
[512, 64],0.1,0.001,0.5549
[512, 128],0.1,0.001,0.5606
[512, 256],0.1,0.001,0.5571
[512, 512],0.1,0.001,0.5582
[1024, 128],0.1,0.001,0.5638
[1024, 256],0.1,0.001,0.5645
[1024, 512],0.1,0.001,0.5707
[1024, 1024],0.1,0.001,0.5659
[2048, 256],0.1,0.001,0.5757
[2048, 512],0.1,0.001,0.5751
[2048, 1024],0.1,0.001,0.5755
[2048, 2048],0.1,0.001,0.5721
[256, 32],0.1,0.0001,0.5373
[256, 64],0.1,0.0001,0.5326
[256, 128],0.1,0.0001,0.5378
[256, 256],0.1,0.0001,0.5447
[512, 64],0.1,0.0001,0.5498
[512, 128],0.1,0.0001,0.5542
[512, 256],0.1,0.0001,0.5558
[512, 512],0.1,0.0001,0.5562
[1024, 128],0.1,0.0001,0.5645
[1024, 256],0.1,0.0001,0.565
[1024, 512],0.1,0.0001,0.5625
[1024, 1024],0.1,0.0001,0.5688
[2048, 256],0.1,0.0001,0.5768
[2048, 512],0.1,0.0001,0.5753
[2048, 1024],0.1,0.0001,0.5748
[2048, 2048],0.1,0.0001,0.5793
[256, 32],0.1,1e-05,0.529
[256, 64],0.1,1e-05,0.5377
[256, 128],0.1,1e-05,0.5356
[256, 256],0.1,1e-05,0.5421
[512, 64],0.1,1e-05,0.5408
[512, 128],0.1,1e-05,0.5495
[512, 256],0.1,1e-05,0.5539
[512, 512],0.1,1e-05,0.5613
[1024, 128],0.1,1e-05,0.5646
[1024, 256],0.1,1e-05,0.5601
[1024, 512],0.1,1e-05,0.5671
[1024, 1024],0.1,1e-05,0.5676
[2048, 256],0.1,1e-05,0.5731
[2048, 512],0.1,1e-05,0.578
[2048, 1024],0.1,1e-05,0.5767
[2048, 2048],0.1,1e-05,0.5775
[256, 32],0.05,0.01,0.5556
[256, 64],0.05,0.01,0.5531
[256, 128],0.05,0.01,0.5575
[256, 256],0.05,0.01,0.5583
[512, 64],0.05,0.01,0.5617
[512, 128],0.05,0.01,0.5653
[512, 256],0.05,0.01,0.5646
[512, 512],0.05,0.01,0.5628
[1024, 128],0.05,0.01,0.5692
[1024, 256],0.05,0.01,0.5717
[1024, 512],0.05,0.01,0.5645
[1024, 1024],0.05,0.01,0.5674
[2048, 256],0.05,0.01,0.571
[2048, 512],0.05,0.01,0.5714
[2048, 1024],0.05,0.01,0.5683
[2048, 2048],0.05,0.01,0.572
[256, 32],0.05,0.001,0.5422
[256, 64],0.05,0.001,0.5437
[256, 128],0.05,0.001,0.5441
[256, 256],0.05,0.001,0.5461
[512, 64],0.05,0.001,0.5486
[512, 128],0.05,0.001,0.556
[512, 256],0.05,0.001,0.5532
[512, 512],0.05,0.001,0.5529
[1024, 128],0.05,0.001,0.5565
[1024, 256],0.05,0.001,0.5576
[1024, 512],0.05,0.001,0.5612
[1024, 1024],0.05,0.001,0.5586
[2048, 256],0.05,0.001,0.5664
[2048, 512],0.05,0.001,0.5698
[2048, 1024],0.05,0.001,0.5656
[2048, 2048],0.05,0.001,0.5693
[256, 32],0.05,0.0001,0.5377
[256, 64],0.05,0.0001,0.5448
[256, 128],0.05,0.0001,0.5437
[256, 256],0.05,0.0001,0.5409
[512, 64],0.05,0.0001,0.5437
[512, 128],0.05,0.0001,0.5506
[512, 256],0.05,0.0001,0.5521
[512, 512],0.05,0.0001,0.5503
[1024, 128],0.05,0.0001,0.5548
[1024, 256],0.05,0.0001,0.5549
[1024, 512],0.05,0.0001,0.5579
[1024, 1024],0.05,0.0001,0.5584
[2048, 256],0.05,0.0001,0.5662
[2048, 512],0.05,0.0001,0.5688
[2048, 1024],0.05,0.0001,0.563
[2048, 2048],0.05,0.0001,0.5674
[256, 32],0.05,1e-05,0.5359
[256, 64],0.05,1e-05,0.5435
[256, 128],0.05,1e-05,0.5431
[256, 256],0.05,1e-05,0.5444
[512, 64],0.05,1e-05,0.5469
[512, 128],0.05,1e-05,0.5537
[512, 256],0.05,1e-05,0.5493
[512, 512],0.05,1e-05,0.5532
[1024, 128],0.05,1e-05,0.5521
[1024, 256],0.05,1e-05,0.5563
[1024, 512],0.05,1e-05,0.5562
[1024, 1024],0.05,1e-05,0.5537
[2048, 256],0.05,1e-05,0.5644
[2048, 512],0.05,1e-05,0.5663
[2048, 1024],0.05,1e-05,0.5659
[2048, 2048],0.05,1e-05,0.5709
[256, 32],0.01,0.01,0.52
[256, 64],0.01,0.01,0.5178
[256, 128],0.01,0.01,0.5216
[256, 256],0.01,0.01,0.5193
[512, 64],0.01,0.01,0.5264
[512, 128],0.01,0.01,0.5279
[512, 256],0.01,0.01,0.5306
[512, 512],0.01,0.01,0.5273
[1024, 128],0.01,0.01,0.5308
[1024, 256],0.01,0.01,0.5319
[1024, 512],0.01,0.01,0.5329
[1024, 1024],0.01,0.01,0.5338
